VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
2,2015-01-13 10:19:58,2015-01-13 10:35:54,2,1.85,-73.96800231933594,40.76247787475586,1,N,-73.97245788574217,40.75396728515625,1,11.5,0.0,0.5,1.0,0.0,0.3,13.3,956.0,-0.0011795841924473,Clear,Otra
2,2015-01-18 12:40:39,2015-01-18 12:53:32,1,1.79,-73.98125457763672,40.74136352539063,1,N,-73.9781951904297,40.761417388916016,1,10.5,0.0,0.5,2.62,0.0,0.3,13.92,773.0,-0.0011856767230035,Clear,Midtown Manhattan
2,2015-01-31 13:05:04,2015-01-31 13:10:53,1,1.22,-73.96759033203125,40.760135650634766,1,N,-73.95574188232422,40.772762298583984,1,6.0,0.0,0.5,1.2,0.0,0.3,8.0,349.0,-0.0012435557632868,Clear,Otra
1,2015-01-14 07:34:16,2015-01-14 07:44:25,3,1.3,-73.97111511230467,40.76253128051758,1,N,-73.95785522460938,40.77944946289063,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3,609.0,-0.001235432389212,Clear,Otra
2,2015-01-01 01:33:28,2015-01-01 02:08:06,1,4.95,-73.9999771118164,40.71778106689453,1,N,-73.98941802978516,40.772926330566406,1,24.0,0.5,0.5,2.5,0.0,0.3,27.8,2078.0,-0.0008648034470465,Clear,Lower Manhattan
2,2015-01-14 13:12:26,2015-01-14 13:29:32,5,4.11,-73.99996948242188,40.75283050537109,1,N,-74.01435852050781,40.70424270629882,1,16.0,0.0,0.5,4.8,0.0,0.3,21.6,1026.0,-0.0009500988748325,Clear,Midtown Manhattan
1,2015-01-31 11:16:20,2015-01-31 11:43:38,1,17.1,-73.9915313720703,40.74265670776367,2,N,-73.78327178955078,40.64385986328125,1,52.0,0.0,0.5,2.22,5.33,0.3,60.35,1638.0,0.0003689339905727,Clear,Midtown Manhattan
2,2015-01-21 13:44:44,2015-01-21 14:05:49,1,3.4,-73.95503234863281,40.7651252746582,1,N,-73.9391098022461,40.804702758789055,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8,1265.0,-0.0010221938197469,Clear,Otra
2,2015-01-10 01:30:12,2015-01-10 01:32:11,1,0.55,-73.9916763305664,40.76382827758789,1,N,-73.98754119873048,40.76984786987305,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,119.0,-0.0013115890211638,Clear,Midtown Manhattan
1,2015-01-24 19:23:30,2015-01-24 19:28:35,3,0.7,-73.9947738647461,40.74039077758789,1,N,-73.99140930175781,40.749000549316406,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,305.0,-0.0012963576947734,Clear,Midtown Manhattan
1,2015-01-22 07:48:06,2015-01-22 08:11:58,1,4.8,-73.95282745361328,40.78009033203125,1,N,-73.98307037353516,40.73479843139648,1,19.5,0.0,0.5,4.06,0.0,0.3,24.36,1432.0,-0.0008800347734369,Clear,Otra
2,2015-01-01 22:56:06,2015-01-01 23:04:06,1,2.19,-73.95398712158203,40.7747459411621,1,N,-73.97533416748048,40.75215911865234,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,480.0,-0.0011450598526292,Clear,Otra
